STT,OwnerName,LicensePlate,VehicleModel,LawSequenceNumber,ViolationDetail,ViolationDate,ViolationTime,DemeritPoints,DetailedLocation
29,"Nguyễn Gia Linh",95C-636.57,"Mitsubishi Xpander",131,"Đỗ xe khuất tầm nhìn",27/01/2026,14:20,0,"Đèo Bảo Lộc, Lâm Đồng"
30,"Nguyễn Hoàng Nam",97C-436.57,"VinFast Lux A",5,"Đi ngược chiều",28/01/2026,08:00,4,"Đường Khuất Duy Tiến, Quận Thanh Xuân, Hà Nội"
31,"Nguyễn Hữu Thắng",99D-236.57,"Honda Blade",6,"Đi ngược chiều (xe máy)",29/01/2026,17:30,4,"Đường Nguyễn Trãi, Quận 5, TP.HCM"
32,"Nguyễn Khánh Linh",01D-111.11,"Honda Scoopy",7,"Đi trên vỉa hè",30/01/2026,18:10,4,"Đường Xuân Thủy, Quận Cầu Giấy, Hà Nội"
33,"Nguyễn Minh Huy",02C-222.22,"Hyundai Accent",16,"Chạy quá tốc độ (20-35km)",31/01/2026,11:00,4,"Quốc lộ 51, đoạn qua TP. Biên Hòa"
34,"Nguyễn Nhật Nam",03C-333.33,"Kia K3",22,"Không thắt dây an toàn",01/02/2026,09:00,0,"Đường Nguyễn Huệ, Quận 1, TP.HCM"
35,"Nguyễn Phương Anh",04D-444.44,"Vespa Primavera",23,"Chở quá số người",02/02/2026,16:30,0,"Phố cổ Hội An, Quảng Nam"
36,"Nguyễn Quang Huy",05C-555.55,"Ford Territory",44,"Tốc độ trên 35km/h",03/02/2026,21:00,6,"Cao tốc Pháp Vân - Cầu Giẽ"
37,"Nguyễn Thành Nam",06D-666.66,"Yamaha NVX",28,"Dùng chân lái xe",04/02/2026,23:00,6,"Cầu vượt Ngã Tư Sở, Hà Nội"
38,"Nguyễn Thế Anh",07C-777.77,"Honda City",96,"Vượt xe nơi cấm vượt",05/02/2026,14:00,2,"Đèo Cả, tỉnh Phú Yên"
39,"Nguyễn Thị Thu Hà",08D-888.88,"Honda Vario",29,"Buông cả hai tay khi lái",06/02/2026,10:00,6,"Đường Trường Sa, Quận Phú Nhuận, TP.HCM"
40,"Nguyễn Thu Trang",09C-999.99,"Mazda 3",33,"Đi vào đường cấm",07/02/2026,08:30,2,"Phố Hàng Bài, Quận Hoàn Kiếm, Hà Nội"
41,"Nguyễn Thùy Chi",11D-123.45,"Suzuki Satria",84,"Lái xe máy bằng một tay",08/02/2026,15:45,0,"Cầu Bãi Cháy, TP. Hạ Long"
42,"Nguyễn Văn Thắng",12C-678.90,"Toyota Fortuner",14,"Cồn Mức 3 (>0.4mg/l)",09/02/2026,22:30,12,"Đường Láng, Quận Đống Đa, Hà Nội"
43,"Phạm Gia Bảo",14D-543.21,"Yamaha Jupiter",90,"Hàng quá chiều cao",10/02/2026,09:15,0,"Cầu vượt Linh Xuân, TP. Thủ Đức"
44,"Phan Bảo Ngọc",15C-987.65,"VinFast VF 8",111,"Không dán thẻ ETC",11/02/2026,10:00,0,"Trạm thu phí Túy Loan, Đà Nẵng"
45,"Phùng Gia Bảo",16D-135.79,"Honda Wave RSX",99,"Chở 3 người lớn",12/02/2026,17:00,0,"Đường Lê Văn Sỹ, Quận 3, TP.HCM"
46,"Tạ Gia Bảo",17C-246.80,"Hyundai Tucson",41,"Dùng còi hơi đô thị",13/02/2026,11:30,0,"Phố Huế, Quận Hai Bà Trưng, Hà Nội"
47,"Thân Bảo Ngọc",18D-112.23,"Yamaha Luvias",185,"Chân chống quệt đường",14/02/2026,21:00,2,"Vòng xoay Dân Chủ, Quận 3, TP.HCM"
48,"Tô Gia Bảo",19C-334.45,"Kia Seltos",127,"Không nhường khi vượt",15/02/2026,14:00,0,"Đường tránh TP. Thanh Hóa"
49,"Trần Bảo Ngọc",21D-556.67,"Honda MSX",81,"Tự ý thay đổi kết cấu",16/02/2026,16:00,0,"Đường Thanh Niên, Quận Tây Hồ, Hà Nội"
50,"Trần Duy Mạnh",22C-778.89,"Toyota Corolla",92,"Vào làn xe buýt BRT",17/02/2026,08:15,2,"Đường Lê Văn Lương, Quận Thanh Xuân, Hà Nội"
51,"Trần Gia Bảo",23D-990.01,"Wave Alpha",2,"Vượt đèn đỏ",18/02/2026,07:45,4,"Ngã tư Phú Nhuận, TP.HCM"
52,"Trần Gia Linh",25C-112.23,"VinFast VF 9",8,"Dùng điện thoại khi lái",19/02/2026,10:20,4,"Cao tốc TP.HCM - Long Thành"
53,"Trần Hữu Thắng",27D-334.45,"Honda Air Blade",20,"Không đội mũ bảo hiểm",20/02/2026,08:30,0,"Đường Hùng Vương, TP. Pleiku"
54,"Trần Nhật Nam",29C-556.67,"Mazda CX-5",1,"Vượt đèn đỏ",21/02/2026,09:10,4,"Ngã sáu Cộng Hòa, Quận 3, TP.HCM"
55,"Trần Thành Nam",31D-778.89,"Exciter 155",18,"Lạng lách trên phố",22/02/2026,21:50,6,"Đường Bạch Đằng, Quận Hải Châu, Đà Nẵng"
56,"Trần Thế Anh",33C-990.01,"Toyota Camry",10,"Cồn mức 1",23/02/2026,22:40,4,"Phố Lý Thường Kiệt, Quận Hoàn Kiếm, Hà Nội"
57,"Trần Thu Trang",35D-112.23,"Honda Lead",7,"Đi trên vỉa hè",24/02/2026,17:15,4,"Đường Tôn Đức Thắng, Quận 1, TP.HCM"
58,"Trịnh Gia Bảo",37C-334.45,"Ford Everest",3,"Đi sai làn đường",25/02/2026,10:00,2,"Cầu Chương Dương, Hà Nội"
59,"Trương Bảo Ngọc",39D-556.67,"Vespa Sprint",85,"Dùng tai nghe khi lái",26/02/2026,14:50,4,"Đường Lê Duẩn, Quận 1, TP.HCM"
60,"Võ Duy Mạnh",41C-778.89,"Honda City",95,"Quay đầu nơi cấm quay",27/02/2026,08:45,0,"Ngã tư Nam Kỳ Khởi Nghĩa - Tú Xương, TP.HCM"
61,"Võ Gia Bảo",43D-990.01,"Winner X",19,"Che biển số",28/02/2026,20:30,6,"Đường Võ Văn Kiệt, Quận Sơn Trà, Đà Nẵng"
62,"Võ Gia Linh",45C-112.23,"VinFast VF 6",22,"Không thắt dây an toàn",01/03/2026,09:20,0,"Đường hầm sông Sài Gòn (Hầm Thủ Thiêm)"
63,"Vũ Gia Bảo",47D-334.45,"Sirius Fi",36,"Rẽ không xi-nhan",02/03/2026,17:40,0,"Ngã sáu Buôn Ma Thuột, Đắk Lắk"
64,"Vũ Hữu Thắng",49C-556.67,"Hyundai Tucson",4,"Đi sai làn (ô tô)",03/03/2026,10:15,2,"Đường Nguyễn Tất Thành, TP. Phan Thiết"
65,"Vũ Nhật Nam",51D-778.89,"Yamaha Janus",42,"Thiếu đèn sau 19h",04/03/2026,19:45,0,"Đường Trần Phú, TP. Rạch Giá, Kiên Giang"
66,"Vũ Thành Nam",53C-990.01,"Kia K5",5,"Đi ngược chiều",05/03/2026,08:10,4,"Phố Kim Mã, Quận Ba Đình, Hà Nội"
67,"Vũ Thu Trang",55D-112.23,"Honda Vision",23,"Chở quá số người",06/03/2026,16:50,0,"Phố đi bộ Nguyễn Huệ, TP.HCM"
68,"Bùi Gia Bảo",96C-681.02,"Toyota Innova",39,"Đỗ xe nơi cấm đỗ",07/03/2026,15:30,0,"Phố Lý Đạo Thành, Quận Hoàn Kiếm, Hà Nội"
69,"Đinh Quốc Bảo",43D-999.99,"Wave Alpha",6,"Đi ngược chiều (xe máy)",08/03/2026,09:10,4,"Đường Cách Mạng Tháng 8, Quận 3, TP.HCM"
70,"Cao Ngọc Anh",84C-369.80,"Ford Everest",44,"Quá tốc độ trên 35km/h",09/03/2026,14:20,6,"Cao tốc Dầu Giây - Phan Thiết"
71,"Lê Nhật Nam",65D-236.57,"Suzuki Raider",60,"Ma túy khi lái xe",10/03/2026,21:00,12,"Đường Phạm Văn Đồng, Quận Thủ Đức, TP.HCM"
72,"Lê Thanh Bình",71D-036.57,"Honda SH",94,"Chống đối đo cồn",11/03/2026,22:30,12,"Đường Trần Não, Quận 2, TP.HCM"
73,"Nguyễn Văn Thắng",12C-678.90,"Toyota Fortuner",93,"Chống đối đo cồn",12/03/2026,23:00,12,"Phố Thái Hà, Quận Đống Đa, Hà Nội"
74,"Nguyễn Minh Huy",02C-222.22,"Hyundai Accent",47,"Lùi xe trên cao tốc",13/03/2026,10:45,6,"Cao tốc Nội Bài - Lào Cai"
75,"Trần Duy Mạnh",22C-778.89,"Toyota Corolla",200,"Gây tai nạn bỏ chạy",14/03/2026,18:20,10,"Ngã tư Bảy Hiền, Quận Tân Bình, TP.HCM"
76,"Đinh Thu Trang",86C-581.02,"Future 125",37,"Chở hàng cồng kềnh",15/03/2026,09:00,0,"Đường Hùng Vương, TP. Long Xuyên"
77,"Lê Hữu Tuấn",61D-536.57,"Exciter 150",32,"Bốc đầu xe máy",16/03/2026,16:30,6,"Đường Trường Sơn (vào sân bay Tân Sơn Nhất)"
78,"Hoàng Bảo Ngọc",48C-303.24,"VinFast Klara",55,"Vào cao tốc (xe máy điện)",17/03/2026,11:00,2,"Đường vành đai 3 trên cao, Hà Nội"
79,"Nguyễn Quang Huy",05C-555.55,"Ford Territory",53,"Cản xe ưu tiên",18/03/2026,08:00,6,"Cầu vượt Cộng Hòa - Hoàng Văn Thụ, TP.HCM"
80,"Phạm Gia Bảo",14D-543.21,"Yamaha Jupiter",185,"Chân chống quệt đường",19/03/2026,20:45,2,"Cầu Sài Gòn, TP.HCM"
81,"Phùng Gia Bảo",16D-135.79,"Wave RSX",77,"Đi dàn hàng ngang",20/03/2026,17:30,0,"Đường Lê Lợi, TP. Thanh Hóa"
82,"Lý Gia Tuấn",81C-036.57,"Hyundai SantaFe",41,"Còi hơi đô thị",21/03/2026,13:00,0,"Phố Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội"
83,"Ngô Gia Bảo",85C-636.57,"Honda CR-V",33,"Vào đường cấm",22/03/2026,07:50,2,"Phố Hàng Đào, Quận Hoàn Kiếm, Hà Nội"
84,"Tạ Gia Bảo",17C-246.80,"Hyundai Tucson",73,"Pha trong đô thị",23/03/2026,19:15,0,"Đường Xô Viết Nghệ Tĩnh, Quận Bình Thạnh, TP.HCM"
85,"Nguyễn Nhật Nam",03C-333.33,"Kia K3",79,"Mở cửa xe thiếu an toàn",24/03/2026,11:20,0,"Đường Hải Thượng Lãn Ông, Quận 5, TP.HCM"
86,"Mai Gia Bảo",83D-836.57,"Sirius Fi",81,"Thay đổi kết cấu xe",25/03/2026,14:00,0,"Đường Phan Bội Châu, TP. Buôn Ma Thuột"
87,"Trần Bảo Ngọc",21D-556.67,"Honda MSX",83,"Pô độ quá ồn",26/03/2026,21:30,0,"Cầu Trần Thị Lý, Đà Nẵng"
88,"Lương Gia Bảo",79C-236.57,"Ford Ranger",76,"Rơi vãi hàng hóa",27/03/2026,10:10,0,"Quốc lộ 18, đoạn qua TP. Bắc Ninh"
89,"Lê Thị Thu Thảo",75D-636.57,"Honda Lead",72,"Không giảm tốc khi rẽ",28/03/2026,16:45,0,"Ngã ba Lê Quang Định - Phan Đăng Lưu, TP.HCM"
90,"Đặng Thảo Nguyên",97C-792.13,"VinFast VF 5",92,"Vào làn BRT",29/03/2026,08:30,2,"Đường Ba La, Quận Hà Đông, Hà Nội"
91,"Nguyễn Phương Anh",04D-444.44,"Vespa Primavera",90,"Hàng quá chiều cao",30/03/2026,09:20,0,"Cầu vượt An Sương, Quận 12, TP.HCM"
92,"Nguyễn Thế Anh",07C-777.77,"Honda City",127,"Không nhường khi vượt",31/03/2026,15:40,0,"Đường tránh TP. Đồng Hới, Quảng Bình"
93,"Bùi Gia Linh",56C-281.02,"Mazda CX-8",112,"ETC không đủ tiền",01/04/2026,10:00,1,"Trạm thu phí Long Phước, TP.HCM"
94,"Lê Phước Thịnh",67D-136.57,"Yamaha Grande",99,"Chở 2 người lớn",02/04/2026,17:15,0,"Đường Hùng Vương, TP. Cà Mau"
95,"Trần Thành Nam",31D-778.89,"Exciter 155",28,"Dùng chân lái xe",03/04/2026,23:45,6,"Đường Nguyễn Văn Linh, Quận Long Biên, Hà Nội"
96,"Vũ Thành Nam",53C-990.01,"Kia K5",111,"Thiếu thẻ đầu cuối",04/04/2026,09:30,0,"Trạm thu phí Bến Lức, Long An"
97,"Nguyễn Thu Trang",09C-999.99,"Mazda 3",21,"Quay đầu nơi cấm",05/04/2026,08:20,2,"Phố Bà Triệu, Quận Hai Bà Trưng, Hà Nội"
98,"Đỗ Bảo Trân",94C-469.80,"Air Blade",84,"Lái xe một tay",06/04/2026,14:00,0,"Cầu Vĩnh Tuy, Hà Nội"
99,"Võ Gia Bảo",43D-990.01,"Winner X",184,"Chân chống sai quy định",07/04/2026,18:30,0,"Đường Trần Phú, TP. Kon Tum"
100,"Nguyễn Khánh Linh",01D-111.11,"Honda Scoopy",97,"Thiếu nhường vòng xuyến",08/04/2026,07:50,0,"Vòng xoay Cây Gõ, Quận 6, TP.HCM"
