FullName,Gender,Dob,Email,Phone,CCCD,Password,BadgeNumber
"Lê Gia Bảo",Nam,22/10/2002,giabao43@gmail.com,0734455667,043456789012,giabao43,
"Lê Gia Minh",Nam,07/12/1996,giaminh83@gmail.com,0598881011,083456789012,giaminh83,
"Lê Hoàng Anh",Nữ,01/08/1999,hoanganh63@gmail.com,0955455667,063456789012,hoanganh63,
"Lê Hoàng Nam",Nam,14/12/2007,hoangnam03@gmail.com,0346789012,003456789012,hoangnam03,
"Lê Văn Hùng",Nam,27/01/2001,vanhung23@gmail.com,0334562233,023456789012,vanhung23,
"Lưu Công Thành",Nam,26/03/2001,congthanh19@gmail.com,0978788990,019012345678,congthanh19,
"Lưu Gia Hân",Nam,17/09/2001,giahan59@gmail.com,0911011223,059012345678,giahan59,
"Lưu Minh Trí",Nữ,14/09/2003,minhtri39@gmail.com,0599012345,039012345678,minhtri39,
"Lưu Quốc Trung",Nam,24/12/1997,quoctrung79@gmail.com,0554446677,079012345678,quoctrung79,
"Lưu Thùy Linh",Nữ,19/03/1999,thuylinh99@gmail.com,0868788990,099012345678,thuylinh99,
"Lý Hải Dương",Nam,21/10/1998,haidung13@gmail.com,0912122334,013456789012,haidung13,
"Lý Minh Khang",Nam,18/03/2005,minhkhang33@gmail.com,0554563233,033456789012,minhkhang33,
"Lý Minh Quang",Nam,10/01/2005,minhquang73@gmail.com,0376667788,073456789012,minhquang73,
"Lý Quốc Huy",Nam,02/11/1997,quochuy53@gmail.com,0845455667,053456789012,quochuy53,
"Lý Thanh Tùng",Nam,25/10/2001,thanhtung93@gmail.com,0792122334,093456789012,thanhtung93,
"Mai Gia Huy",Nam,20/08/1997,giahuy35@gmail.com,0555678901,035678901234,giahuy35,
"Mai Mai Anh",Nữ,01/08/1998,maianh75@gmail.com,0398889900,075678901234,maianh75,
"Mai Minh Đức",Nam,24/06/2001,minhduc55@gmail.com,0867677889,055678901234,minhduc55,
"Mai Quốc Việt",Nam,11/10/1996,quocviet95@gmail.com,0824344556,095678901234,quocviet95,
"Mai Quỳnh Anh",Nữ,08/01/2001,quynhanh15@gmail.com,0934344556,015678901234,quynhanh15,
"Ngô Đức Thịnh",Nam,18/03/2002,ducthinh67@gmail.com,0999899001,067890123456,ducthinh67,
"Ngô Gia Minh",Nam,01/10/1996,giaminh47@gmail.com,0778899001,047890123456,giaminh47,
"Ngô Ngọc Anh",Nữ,16/07/2007,ngocanh07@gmail.com,0380123456,007890123456,ngocanh07,
"Ngô Quốc Hưng",Nam,28/11/1999,quochung87@gmail.com,0735566778,087890123456,quochung87,
"Ngô Quốc Việt",Nam,02/08/2006,quocviet27@gmail.com,0378906677,027890123456,quocviet27,
"Nguyễn Bảo An",Nữ,13/05/2005,baoan81@gmail.com,0576668899,081234567890,baoan81,
"Nguyễn Bích Ngọc",Nữ,27/03/2000,bichngoc41@gmail.com,0712233445,041234567890,bichngoc41,
"Nguyễn Minh Anh",Nữ,25/06/2001,minhanh01@gmail.com,0324567890,001234567890,minhanh01,
"Nguyễn Minh Châu",Nam,02/02/2002,minhchau61@gmail.com,0933233445,061234567890,minhchau61,
"Nguyễn Trung Hiếu",Nam,02/10/2001,trunghieu21@gmail.com,0990900112,021234567890,trunghieu21,
"Phạm Gia Hân",Nữ,28/06/2006,giahan04@gmail.com,0357890123,004567890123,giahan04,
"Phạm Gia Huy",Nam,13/07/1996,giahuy64@gmail.com,0966566778,064567890123,giahuy64,
"Phạm Ngọc Huy",Nam,27/10/2002,ngochuy84@gmail.com,0702233445,084567890123,ngochuy84,
"Phạm Ngọc Mai",Nữ,27/11/2003,ngocmai24@gmail.com,0345673344,024567890123,ngocmai24,
"Phạm Thanh Hà",Nữ,20/01/1995,thanhha44@gmail.com,0745566778,044567890123,thanhha44,
"Phan Đức Huy",Nam,06/12/1995,duchuy31@gmail.com,0532341011,031234567890,duchuy31,
"Phan Gia Huy",Nam,06/09/1998,giahuy91@gmail.com,0779900112,091234567890,giahuy91,
"Phan Hải Dương",Nam,08/12/2003,haidung71@gmail.com,0354445566,071234567890,haidung71,
"Phan Thảo Vy",Nữ,01/06/2005,thaovy11@gmail.com,0880900112,011234567890,thaovy11,
"Phan Tuấn Anh",Nam,24/10/1999,tuananh51@gmail.com,0823233445,051234567890,tuananh51,
"Trần Hoàng Yến",Nữ,01/08/1995,hoangyen82@gmail.com,0587779900,082345678901,hoangyen82,
"Trần Minh Tâm",Nữ,02/11/2002,minhtam42@gmail.com,0723344556,042345678901,minhtam42,
"Trần Quốc Bảo",Nam,13/06/2006,quocbao02@gmail.com,0335678901,002345678901,quocbao02,
"Trần Quốc Bảo",Nam,21/07/2006,quocbao62@gmail.com,0944344556,062345678901,quocbao62,
"Trần Thu Hà",Nữ,22/05/2000,thuha22@gmail.com,0323451122,022345678901,thuha22,
"Trịnh Gia Khánh",Nam,16/07/1996,giakhanh74@gmail.com,0387778899,074567890123,giakhanh74,
"Trịnh Minh Thư",Nữ,12/02/1995,minhthu94@gmail.com,0813233445,094567890123,minhthu94,
"Trịnh Mỹ Linh",Nữ,18/07/1998,mylinh34@gmail.com,0544567890,034567890123,mylinh34,
"Trịnh Nhật Minh",Nam,04/06/2002,nhatminh14@gmail.com,0923233445,014567890123,nhatminh14,
"Trịnh Thùy Dương",Nam,22/12/2002,thuyduong54@gmail.com,0856566778,054567890123,thuyduong54,
"Võ Anh Tuấn",Nam,01/04/2003,anhtuan25@gmail.com,0356784455,025678901234,anhtuan25,
"Võ Đức Anh",Nam,05/06/1997,ducanh05@gmail.com,0368901234,005678901234,ducanh05,
"Võ Khánh Linh",Nữ,03/09/2007,khanhlinh85@gmail.com,0713344556,085678901234,khanhlinh85,
"Võ Minh Anh",Nam,02/09/2007,minhanh65@gmail.com,0977677889,065678901234,minhanh65,
"Võ Quốc Đạt",Nam,04/07/2003,quocdat45@gmail.com,0756677889,045678901234,quocdat45,
"Vũ Hải Nam",Nam,11/03/2001,hainam57@gmail.com,0889899001,057890123456,hainam57,
"Vũ Hoài Nam",Nam,05/11/1997,hoainam17@gmail.com,0956566778,017890123456,hoainam17,
"Vũ Minh Khoa",Nam,09/04/2001,minhkhoa77@gmail.com,0532224455,077890123456,minhkhoa77,
"Vũ Minh Tuấn",Nam,17/12/1998,minhtuan97@gmail.com,0846566778,097890123456,minhtuan97,
"Vũ Quốc An",Nam,26/05/2003,quocan37@gmail.com,0577890123,037890123456,quocan37,
